ELEMENTS,Au,Au-Rp1,Ag,Al2O3,As,Ba,BaO,Be,Bi,C,CaO,Cd,Ce,Co,Cr,Cr2O3,Cs,Cu,Dy,Er,Eu,FeO,Fe2O3,Ga,Gd,Ge,Hf,Ho,In,K2O,LOI,La,Li,Lu,MgO,MnO,Mo,Na2O,Nb,Nd,Ni,P2O5,Pb,Pd,Pr,Pt,Rb,Re,S,SO3,Sb,Sc,Se,SiO2,Sm,Sn,Sr,Ta,Tb,Te,Th,TiO2,Tl,Tm,Total,U,V,W,WTTOT,Y,Yb,Zn,Zr
UNITS,ppb,ppb,ppm,%,ppm,ppm,%,ppm,ppm,%,%,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,%,%,ppm,ppm,ppm,ppm,ppm,ppm,%,%,ppm,ppm,ppm,%,%,ppm,%,ppm,ppm,ppm,%,ppm,ppb,ppm,ppb,ppm,ppm,%,%,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,%,ppm,ppm,ppm,g,ppm,ppm,ppm,ppm
DETECTION,1,1,0.01,0.01,0.5,0.5,0.01,0.05,0.01,0.01,0.01,0.02,0.5,0.1,20,0.01,0.1,1,0.1,0.1,0.1,0.1,0.01,0.1,0.1,0.05,0.1,0.1,0.01,0.01,0.01,0.2,0.1,0.1,0.01,0.01,0.1,0.01,0.1,0.1,0.5,0.002,0.5,0.5,0.1,0.5,0.1,0.002,0.01,0.01,0.05,10,0.5,0.01,0.1,1,0.2,0.1,0.1,0.1,0.1,0.01,0.02,0.1,0.01,0.1,10,1,0.01,0.5,0.1,1,1
METHOD,FA25/MS,FA25/MS,4A/MS,FB1/XRF,4A/MS,FB6/MS,FB1/XRF,4A/MS,4A/MS,/CSA,FB1/XRF,4A/MS,FB6/MS,4A/MS,FB6/OE,FB1/XRF,FB6/MS,4A/OE,FB6/MS,FB6/MS,FB6/MS,AD71/VOL,FB1/XRF,FB6/MS,FB6/MS,4A/MS,FB6/MS,FB6/MS,4A/MS,FB1/XRF,/TGA,FB6/MS,4A/MS,FB6/MS,FB1/XRF,FB1/XRF,4A/MS,FB1/XRF,FB6/MS,FB6/MS,4A/OE,FB1/XRF,4A/MS,FA25/MS,FB6/MS,FA25/MS,FB6/MS,4A/MS,/CSA,FB1/XRF,4A/MS,FB6/OE,4A/MS,FB1/XRF,FB6/MS,FB6/MS,FB6/MS,FB6/MS,FB6/MS,4A/MS,FB6/MS,FB1/XRF,4A/MS,FB6/MS,FB1/XRF,FB6/MS,FB6/OE,FB6/MS,WT01,FB6/MS,FB6/MS,4A/OE,FB6/MS
COMMENTS: 656.0/2317403   (12/10/2023)   CLIENT O/N: 92PWBPI00175 1/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMPLE NUMBERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB23CAS001,6,,0.07,13.94,2.9,162.5,0.02,1.11,0.08,0.02,7.48,0.03,39.6,41.8,63,-0.01,0.9,44,4.4,2.8,1,8.9,12.1,17.4,3.9,1.71,2.8,0.9,0.09,1.11,1.63,18.9,13.9,0.4,3.61,0.19,0.5,2.18,5.1,17.3,11.1,0.071,2.9,-0.5,4.5,-0.5,52.8,-0.002,-0.01,0.03,0.5,42,-0.5,56.96,3.6,2,107.1,0.5,0.6,-0.1,6.4,0.79,0.24,0.3,100.34,1.7,265,1,1142.5,24.1,2.6,56,97
FB23PGF001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563.7,,,,
FB23PGF002,2,,0.08,13.98,0.7,61.4,0.01,0.32,0.08,0.06,11.89,0.17,9.3,50.5,178,0.02,0.5,56,3.8,2.5,1,11,13.57,15.6,2.9,1.61,1.4,0.9,0.08,0.56,0.64,3.3,2.1,0.4,7.54,0.23,0.3,1.29,2.6,6.9,96.2,0.08,3.2,17.9,1.3,16.5,16.6,0.002,0.07,0.2,0.08,43,-0.5,49.33,2.5,2,183.6,0.1,0.6,-0.1,0.3,1.01,0.17,0.4,100.35,0.2,331,-1,864.8,20.1,2.2,111,59
FB23PGF003,-1,,0.03,14.1,0.5,521.8,0.07,2.02,0.07,-0.01,6.31,0.14,133.2,26.8,59,-0.01,2.5,9,6.9,2.7,3.5,10.2,12.7,23.4,10.1,1.37,7.3,1.1,0.13,2.7,0.89,54.3,23,0.3,2.92,0.17,2.1,0.86,33.7,68,17.7,1.085,5.5,-0.5,17.1,-0.5,100.9,-0.002,0.05,0.13,-0.05,15,-0.5,54.91,12.8,3,421,1.7,1.2,-0.1,5.2,3.32,0.66,0.4,100.27,2.2,133,-1,2008.6,28.2,1.6,195,366
